0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/select2/js/select2.min.js HTTP/1.1" 200 60743
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/admin/adminPanel.js HTTP/1.1" 200 40464
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/jqueryUI/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/summernote/summernote.css HTTP/1.1" 200 10690
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/dataTable/jquery.dataTables.min.js HTTP/1.1" 200 82575
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/competency/competency.js HTTP/1.1" 200 106461
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/multiselect/bootstrap-multiselect.min.js HTTP/1.1" 200 26032
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/summernote/summernote.min.js HTTP/1.1" 200 53789
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/introduction.png HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/user.png HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/third-i-logo.png HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/my-form.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/summernote/summernote-bs3.css HTTP/1.1" 200 146441
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/circle.png HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/multiselect/popper.js HTTP/1.1" 200 87903
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/comment.png HTTP/1.1" 200 327754
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/circle.png HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/comment.png HTTP/1.1" 200 327754
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/my-form.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/circle-color.png HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/edit.png HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/login/images/introduction-color.png HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:49 +0530] "GET /pms-web/lib/jquery/loading/loading.gif HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:52 +0530] "POST /pms-web/competency/getcompetencies.do HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:52 +0530] "GET /pms-web/login/images/introduction.png HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:52 +0530] "GET /pms-web/login/images/my-form-color.png HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:55 +0530] "GET /pms-web/login/logout HTTP/1.1" 200 4535
